* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
462.381489 86.757 -147.9222
465.732096 86.790 -148.0301
469.106983 86.823 -148.1651
472.506325 86.856 -148.3233
475.930301 86.892 -148.4994
479.379088 86.931 -148.6893
482.852867 86.974 -148.8910
486.351817 87.022 -149.1049
489.876123 87.076 -149.3329
493.425968 87.138 -149.5767
497.001536 87.209 -149.8377
500.603014 87.290 -150.1162
504.230589 87.381 -150.4113
507.884452 87.478 -150.7215
511.564792 87.578 -151.0456
515.271802 87.676 -151.3837
519.005673 87.768 -151.7364
522.766602 87.851 -152.1051
526.554785 87.924 -152.4919
530.370418 87.987 -152.8992
534.213700 88.041 -153.3275
538.084833 88.087 -153.7739
541.984018 88.129 -154.2315
545.911457 88.167 -154.6890
549.867357 88.202 -155.1343
553.851922 88.233 -155.5657
557.865362 88.259 -155.9961
561.907884 88.281 -156.4400
565.979700 88.302 -156.9039
570.081022 88.323 -157.3880
574.212064 88.345 -157.8896
578.373042 88.368 -158.4052
582.564171 88.394 -158.9324
586.785671 88.420 -159.4690
591.037762 88.445 -160.0139
595.320665 88.469 -160.5665
599.634604 88.490 -161.1260
603.979804 88.508 -161.6916
608.356491 88.521 -162.2626
612.764893 88.531 -162.8381
617.205240 88.538 -163.4177
621.677763 88.543 -164.0013
626.182696 88.548 -164.5886
630.720274 88.553 -165.1786
635.290733 88.559 -165.7695
639.894312 88.564 -166.3578
644.531250 88.567 -166.9387
649.201789 88.568 -167.5074
653.906173 88.564 -168.0639
658.644647 88.555 -168.6148
663.417457 88.540 -169.1647
668.224854 88.522 -169.7133
673.067086 88.501 -170.2580
677.944408 88.480 -170.7963
682.857073 88.459 -171.3265
687.805336 88.439 -171.8476
692.789457 88.418 -172.3590
697.809695 88.397 -172.8599
702.866312 88.375 -173.3485
707.959571 88.353 -173.8221
713.089738 88.329 -174.2790
718.257080 88.303 -174.7190
723.461867 88.276 -175.1420
728.704370 88.247 -175.5479
733.984862 88.216 -175.9360
739.303619 88.184 -176.3069
744.660918 88.149 -176.6635
750.057038 88.115 -177.0097
755.492260 88.080 -177.3466
760.966869 88.047 -177.6709
